model_gene_id	TPM_gmean
g.580.peg.1516	294.428738
g.580.peg.2044	54.91449002
g.580.peg.302	85.84896434
g.580.peg.286	67.79431053
g.580.peg.1088	34.79792476
g.580.peg.1681	31.35852523
g.580.peg.350	36.49102605
g.580.peg.2404	741.4340269
g.580.peg.370	1463.929741
g.580.peg.1378	72.1102901
g.580.peg.1649	89.7016001
g.580.peg.2386	187.590835
g.580.peg.1232	102.0409973
g.580.peg.1466	130.4505868
g.580.peg.1429	41.79611913
g.580.peg.1664	272.7561177
g.580.peg.1908	83.88613372
g.580.peg.1006	52.43377265
g.580.peg.1909	45.12837112
g.580.peg.2054	267.455219
267747.1.peg.938	267.455219
g.580.peg.2241	320.5323872
g.580.peg.506	372.14122
g.580.peg.1735	183.6343307
g.580.peg.1693	102.0037492
g.580.peg.41	243.4509017
g.580.peg.1456	353.8799438
g.580.peg.914	169.4291255
g.580.peg.181	122.201658
g.580.peg.1692	59.35178526
g.580.peg.1147	257.7767276
g.580.peg.476	184.4484343
g.580.peg.470	168.1538075
g.580.peg.822	118.8610431
g.580.peg.93	32.71797634
g.580.peg.1709	192.8018556
g.580.peg.910	145.1162185
g.580.peg.1539	9.189204172
g.580.peg.1576	148.8031624
