pangene	corr_p_vals	corr_coeff	species_tested_for	p_adj	significant	transcripts_from
DNF11_2432	0.7922566081190557	-0.07178823529411764	Cutibacterium_acnes	0.9133658985321598	FALSE	Malassezia_restricta
DNF11_2433	0.6986562051419692	0.10544411764705881	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_2533	0.8024647331612157	-0.06809705882352941	Cutibacterium_acnes	0.9134975893218871	FALSE	Malassezia_restricta
DNF11_2543	0.5911695641132158	-0.14588823529411765	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_2561	0.9406073206613819	0.0015529411764705879	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
DNF11_2568	0.5525912035319777	-0.16118823529411763	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_2589	0.922530300724007	0.020864705882352938	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
DNF11_2658	0.83300878230758435	-0.05748235294117647	Cutibacterium_acnes	0.9193572536443462	FALSE	Malassezia_restricta
DNF11_2685	0.7314165780583718	-0.09370882352941176	Cutibacterium_acnes	0.884357815224405	FALSE	Malassezia_restricta
DNF11_2689	0.26020397892264174	-0.30040588235294113	Cutibacterium_acnes	0.706745710171827	FALSE	Malassezia_restricta
DNF11_2690	0.5886965273969678	0.14675882352941175	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
